Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - GBP,Flow
5/9/12,"5,657.86",-14.15,-0.25%,"5,672.01","5,634.88","5,675.91","737,252,856","345,037.00","1,115,234.00"
6/9/12,"5,777.34",+119.48,+2.11%,"5,657.86","5,657.86","5,785.98","1,097,422,189","433,570.00","1,548,804.00"
7/9/12,"5,794.80",+17.46,+0.30%,"5,777.34","5,772.87","5,807.57","1,271,438,348","530,086.00","2,078,890.00"
10/9/12,"5,793.20",-1.60,-0.03%,"5,794.80","5,777.07","5,806.79","672,890,986","315,788.00","1,763,102.00"
11/9/12,"5,792.19",-1.01,-0.02%,"5,793.20","5,764.22","5,796.56","779,957,751","364,576.00","1,398,526.00"
12/9/12,"5,782.08",-10.11,-0.17%,"5,792.19","5,757.58","5,821.24","1,101,683,819","426,414.00","972,112.00"
13/9/12,"5,819.92",+37.84,+0.65%,"5,782.08","5,770.26","5,826.57","819,530,076","376,348.00","1,348,460.00"
14/9/12,"5,915.55",+95.63,+1.64%,"5,819.92","5,819.92","5,932.62","1,506,216,688","651,992.00","2,000,452.00"
17/9/12,"5,893.52",-22.03,-0.37%,"5,915.55","5,883.22","5,915.68","691,683,835","312,908.00","1,687,544.00"
18/9/12,"5,868.16",-25.36,-0.43%,"5,893.52","5,837.52","5,893.52","802,597,642","393,137.00","1,294,407.00"
19/9/12,"5,888.48",+20.32,+0.35%,"5,868.16","5,861.01","5,894.39","704,137,658","328,271.00","1,622,678.00"
20/9/12,"5,854.64",-33.84,-0.57%,"5,888.48","5,824.36","5,888.48","656,511,293","348,473.00","1,274,205.00"
21/9/12,"5,852.62",-2.02,-0.03%,"5,854.64","5,838.86","5,887.57","1,202,461,186","610,370.00","663,835.00"
24/9/12,"5,838.84",-13.78,-0.24%,"5,852.62","5,806.09","5,852.62","736,974,080","320,355.00","343,480.00"
25/9/12,"5,859.71",+20.87,+0.36%,"5,838.84","5,828.34","5,869.17","737,347,651","384,659.00","728,139.00"
26/9/12,"5,768.09",-91.62,-1.56%,"5,859.71","5,751.35","5,859.71","685,626,234","316,487.00","411,652.00"
27/9/12,"5,779.42",+11.33,+0.20%,"5,768.09","5,762.98","5,804.09","545,045,165","282,656.00","694,308.00"
28/9/12,"5,742.07",-37.35,-0.65%,"5,779.42","5,740.52","5,807.82","745,469,352","382,596.00","311,712.00"
